timestamp,api_type,complexity,repository,execution,time_ms,size_bytes,status
2025-11-22T13:08:50.593127,GraphQL,complex,torvalds/linux,95,1017.92,440,200
2025-11-22T13:08:51.598552,REST,medium,torvalds/linux,9,904.45,42339,200
2025-11-22T13:08:53.338449,REST,complex,python/cpython,7,1638.65,29477,200
2025-11-22T13:08:54.230204,GraphQL,complex,microsoft/vscode,38,790.85,1144,200
2025-11-22T13:08:54.691180,REST,simple,torvalds/linux,79,359.68,5016,200
2025-11-22T13:08:55.140150,GraphQL,medium,vuejs/vue,24,347.43,1808,200
2025-11-22T13:08:56.163431,REST,medium,kubernetes/kubernetes,45,921.4,118298,200
2025-11-22T13:08:57.250764,REST,medium,angular/angular,91,984.72,66043,200
2025-11-22T13:08:58.012251,GraphQL,medium,torvalds/linux,29,660.06,145,200
2025-11-22T13:08:58.481280,GraphQL,simple,nodejs/node,31,367.97,249,200
2025-11-22T13:09:00.039989,REST,medium,kubernetes/kubernetes,18,1456.54,118298,200
2025-11-22T13:09:01.120087,REST,medium,kubernetes/kubernetes,64,978.33,118298,200
2025-11-22T13:09:03.606102,REST,complex,nodejs/node,78,2382.79,32818,200
2025-11-22T13:09:04.180378,GraphQL,medium,kubernetes/kubernetes,93,473.02,1814,200
2025-11-22T13:09:05.084387,REST,medium,torvalds/linux,62,802.43,42339,200
2025-11-22T13:09:06.601137,REST,complex,vuejs/vue,15,1413.04,26712,200
2025-11-22T13:09:07.079073,GraphQL,simple,kubernetes/kubernetes,69,376.52,258,200
2025-11-22T13:09:07.565247,GraphQL,simple,nodejs/node,73,384.24,249,200
2025-11-22T13:09:08.300274,GraphQL,complex,angular/angular,74,633.51,1142,200
2025-11-22T13:09:08.917406,GraphQL,complex,vuejs/vue,84,515.7,1137,200
2025-11-22T13:09:09.829601,REST,medium,torvalds/linux,96,810.01,42339,200
2025-11-22T13:09:10.701848,REST,medium,torvalds/linux,10,770.29,42339,200
2025-11-22T13:09:12.333131,REST,complex,django/django,59,1528.78,30604,200
2025-11-22T13:09:12.911189,GraphQL,medium,vuejs/vue,94,476.55,1808,200
2025-11-22T13:09:14.025448,REST,medium,kubernetes/kubernetes,100,1012.5,118298,200
2025-11-22T13:09:15.006825,REST,medium,django/django,40,879.5,40997,200
2025-11-22T13:09:16.744433,REST,complex,python/cpython,22,1633.75,29477,200
2025-11-22T13:09:17.279746,REST,simple,kubernetes/kubernetes,44,434.15,6538,200
2025-11-22T13:09:19.786036,REST,complex,microsoft/vscode,75,2402.47,39318,200
2025-11-22T13:09:20.193192,GraphQL,simple,kubernetes/kubernetes,40,305.62,258,200
2025-11-22T13:09:21.218901,REST,medium,python/cpython,65,923.73,47447,200
2025-11-22T13:09:21.863886,GraphQL,medium,torvalds/linux,7,543.32,145,200
2025-11-22T13:09:22.934063,REST,medium,nodejs/node,27,968.37,53169,200
2025-11-22T13:09:23.927505,GraphQL,medium,vuejs/vue,22,891.7,1808,200
2025-11-22T13:09:24.381348,REST,simple,vuejs/vue,74,352.18,5887,200
2025-11-22T13:09:25.231236,REST,medium,torvalds/linux,83,747.97,42339,200
2025-11-22T13:09:25.774386,REST,simple,vuejs/vue,96,441.43,5887,200
2025-11-22T13:09:26.477337,REST,simple,microsoft/vscode,4,601.58,6455,200
