summary_by_repository.csv

,,,time_ms,time_ms,size_bytes,size_bytes
,,,mean,std,mean,std
repository,api_type,complexity,,,,
angular/angular,GraphQL,complex,700.15,189.88,1118.8,11.66
angular/angular,GraphQL,medium,445.93,81.08,1745.74,8.31
angular/angular,GraphQL,simple,370.92,57.87,247.0,0.0
angular/angular,REST,complex,1785.17,291.06,44023.34,922.54
angular/angular,REST,medium,968.0,118.8,63499.58,1835.77
angular/angular,REST,simple,450.73,70.14,6337.0,0.0
django/django,GraphQL,complex,637.09,184.13,548.0,0.0
django/django,GraphQL,medium,361.68,97.91,173.0,0.0
django/django,GraphQL,simple,358.87,83.15,257.0,0.0
django/django,REST,complex,1541.14,166.99,30604.0,0.0
django/django,REST,medium,815.4,77.67,40997.0,0.0
django/django,REST,simple,398.61,55.59,6147.0,0.0
facebook/react,GraphQL,complex,628.56,184.53,1192.0,0.0
facebook/react,GraphQL,medium,434.51,90.98,1798.0,0.0
facebook/react,GraphQL,simple,369.26,65.47,256.0,0.0
facebook/react,REST,complex,1695.32,137.95,31268.0,0.0
facebook/react,REST,medium,962.17,182.9,44680.0,0.0
facebook/react,REST,simple,449.48,51.38,6156.0,0.0
kubernetes/kubernetes,GraphQL,complex,825.25,215.64,1146.0,0.0
kubernetes/kubernetes,GraphQL,medium,500.99,103.69,1814.0,0.0
kubernetes/kubernetes,GraphQL,simple,367.35,54.56,258.0,0.0
kubernetes/kubernetes,REST,complex,1788.09,340.97,59096.0,0.0
kubernetes/kubernetes,REST,medium,1000.9,115.8,118298.0,0.0
kubernetes/kubernetes,REST,simple,451.22,130.11,6538.0,0.0
microsoft/vscode,GraphQL,complex,1007.0,327.01,1205.1,20.18
microsoft/vscode,GraphQL,medium,772.75,114.98,1630.96,22.72
microsoft/vscode,GraphQL,simple,578.09,149.31,228.0,0.0
microsoft/vscode,REST,complex,2710.75,358.53,42946.21,2326.02
microsoft/vscode,REST,medium,1468.96,215.57,65502.14,2499.53
microsoft/vscode,REST,simple,668.72,73.95,6455.0,0.0
nodejs/node,GraphQL,complex,766.53,200.89,1208.0,0.0
nodejs/node,GraphQL,medium,451.0,81.02,1714.0,0.0
nodejs/node,GraphQL,simple,359.93,62.29,249.0,0.0
nodejs/node,REST,complex,1763.84,286.39,32818.0,0.0
nodejs/node,REST,medium,922.05,74.21,53169.0,0.0
nodejs/node,REST,simple,447.23,68.16,5975.0,0.0
python/cpython,GraphQL,complex,835.23,207.79,1167.0,0.0
python/cpython,GraphQL,medium,487.6,73.61,1764.0,0.0
python/cpython,GraphQL,simple,370.67,59.59,237.0,0.0
python/cpython,REST,complex,1693.48,272.24,30036.14,323.56
python/cpython,REST,medium,925.17,172.45,47472.89,1264.52
python/cpython,REST,simple,440.7,71.59,6018.0,0.0
tensorflow/tensorflow,GraphQL,complex,796.89,141.06,1394.0,0.0
tensorflow/tensorflow,GraphQL,medium,481.5,113.32,2151.0,0.0
tensorflow/tensorflow,GraphQL,simple,365.46,60.0,261.0,0.0
tensorflow/tensorflow,REST,complex,1788.01,330.96,32090.21,62.69
tensorflow/tensorflow,REST,medium,934.06,114.34,42343.34,70.09
tensorflow/tensorflow,REST,simple,450.2,50.71,6689.0,0.0
torvalds/linux,GraphQL,complex,1117.28,308.58,440.0,0.0
torvalds/linux,GraphQL,medium,336.16,60.92,145.0,0.0
torvalds/linux,GraphQL,simple,345.81,77.03,224.0,0.0
torvalds/linux,REST,complex,1315.17,153.73,24019.0,0.0
torvalds/linux,REST,medium,794.24,138.32,42339.0,0.0
torvalds/linux,REST,simple,356.7,69.92,5016.0,0.0
vuejs/vue,GraphQL,complex,489.14,181.82,1137.0,0.0
vuejs/vue,GraphQL,medium,405.06,102.87,1808.0,0.0
vuejs/vue,GraphQL,simple,337.9,51.17,281.0,0.0
vuejs/vue,REST,complex,1481.58,140.96,26712.0,0.0
vuejs/vue,REST,medium,828.59,145.05,40393.0,0.0
vuejs/vue,REST,simple,392.38,48.13,5887.0,0.0
